Persona6 14:10:10.557420, Casa del Terror, 14:10:10.984465, Carrusel, 14:10:31.995138
Persona1 14:10:10.494420, Casa del Terror, 14:10:10.494420, Casa del Terror, 14:10:33.374133
Persona16 14:10:12.630424, Barco Pirata, 14:10:15.397487, Barco Pirata, 14:10:37.124693
Persona13 14:10:11.649421, Barco Pirata, 14:10:13.354424, Carrusel, 14:10:39.283734
Persona9 14:10:10.984465, Casa del Terror, 14:10:11.696419, Carrusel, 14:10:41.025162
Persona7 14:10:10.714455, Barco Pirata, 14:10:11.126420, Casa del Terror, 14:10:45.261841
Persona11 14:10:11.316422, Casa del Terror, 14:10:12.504421, Montaña Rusa, 14:10:46.010840
Persona14 14:10:11.840427, Casa del Terror, 14:10:14.336418, Montaña Rusa, 14:10:52.421898
Persona15 14:10:11.999421, Casa del Terror, 14:10:14.970422, Montaña Rusa, 14:10:58.906936
Persona20 14:10:13.618426, Casa del Terror, 14:10:17.950739, Montaña Rusa, 14:11:07.634961
Persona28 14:10:16.105484, Casa del Terror, 14:10:31.549131, Barco Pirata, 14:11:15.188074
Persona38 14:10:19.948741, Barco Pirata, 14:10:36.557161, Montaña Rusa, 14:11:26.845213
Persona26 14:10:15.477483, Montaña Rusa, 14:10:29.876129, Montaña Rusa, 14:11:27.209824
Persona39 14:10:20.218745, Barco Pirata, 14:10:36.825160, Montaña Rusa, 14:11:28.215784
Persona24 14:10:14.604420, Montaña Rusa, 14:10:24.090323, Montaña Rusa, 14:11:28.755827
Persona31 14:10:17.570739, Casa del Terror, 14:10:33.724130, Montaña Rusa, 14:11:29.912422
Persona36 14:10:19.140740, Casa del Terror, 14:10:36.180160, Barco Pirata, 14:11:32.891216
Persona3 14:10:10.495431, Montaña Rusa, 14:10:10.541425, Casa del Terror, 14:11:38.692132
Persona19 14:10:13.246434, Montaña Rusa, 14:10:17.223545, Casa del Terror, 14:11:40.785168
Persona23 14:10:14.243419, Montaña Rusa, 14:10:23.650322, Casa del Terror, 14:11:42.939125
Persona51 14:10:26.531328, Barco Pirata, 14:10:50.748842, Montaña Rusa, 14:11:47.700460
Persona18 14:10:13.007426, Montaña Rusa, 14:10:16.655545, Casa del Terror, 14:11:47.701463
Persona58 14:10:31.932129, Barco Pirata, 14:11:01.254891, Barco Pirata, 14:11:47.702461
Persona4 14:10:10.509467, Montaña Rusa, 14:10:10.714455, Casa del Terror, 14:11:47.703463
Persona40 14:10:20.946599, Montaña Rusa, 14:10:38.156205, Barco Pirata, 14:11:47.705031
Persona12 14:10:11.460419, Montaña Rusa, 14:10:12.943430, Casa del Terror, 14:11:47.706001
Persona133 14:11:01.983894, Barco Pirata, 14:11:14.600111, Barco Pirata, 14:11:47.706001
Persona67 14:10:33.533132, Casa del Terror, 14:11:17.503753, Barco Pirata, 14:11:47.706001
Persona83 14:10:38.156205, Montaña Rusa, 14:11:10.017819, Barco Pirata, 14:11:47.706985
Persona115 14:10:53.074935, Montaña Rusa, 14:11:11.187218, Barco Pirata, 14:11:47.707986
Persona90 14:10:39.886773, Montaña Rusa, 14:11:13.871524, Barco Pirata, 14:11:48.568576
Persona91 14:10:40.520727, Montaña Rusa, 14:11:14.142559, Barco Pirata, 14:11:50.870664
Persona61 14:10:32.534129, Barco Pirata, 14:11:02.269934, Montaña Rusa, 14:11:51.589786
Persona44 14:10:22.773205, Casa del Terror, 14:10:53.516901, Montaña Rusa, 14:11:51.604391
Persona46 14:10:24.359320, Casa del Terror, 14:10:59.545891, Montaña Rusa, 14:11:51.637604
Persona27 14:10:15.621483, Montaña Rusa, 14:10:30.880169, Montaña Rusa, 14:11:51.638601
Persona80 14:10:37.172726, Barco Pirata, 14:11:02.523456, Montaña Rusa, 14:11:51.639600
Persona32 14:10:17.777738, Montaña Rusa, 14:10:33.866129, Montaña Rusa, 14:11:51.668353
Persona64 14:10:32.899130, Montaña Rusa, 14:11:05.964325, Barco Pirata, 14:11:51.702571
Persona50 14:10:26.419320, Casa del Terror, 14:11:03.267085, Montaña Rusa, 14:11:51.779430
Persona116 14:10:53.819896, Barco Pirata, 14:11:34.427421, Barco Pirata, 14:11:52.570995
Persona29 14:10:16.909546, Barco Pirata, 14:10:32.376133, Carrusel, 14:11:54.701117
Persona2 14:10:10.495431, Carrusel, 14:10:10.495431, Barco Pirata, 14:11:54.873476
Persona101 14:10:46.309840, Montaña Rusa, 14:11:44.239144, Barco Pirata, 14:12:00.461917
Persona68 14:10:33.596126, Barco Pirata, 14:11:13.156220, Montaña Rusa, 14:12:00.461917
Persona56 14:10:31.517128, Casa del Terror, 14:11:04.232136, Montaña Rusa, 14:12:00.477591
Persona63 14:10:32.819128, Casa del Terror, 14:11:10.569820, Montaña Rusa, 14:12:00.590455
Persona65 14:10:33.153130, Casa del Terror, 14:11:11.824270, Montaña Rusa, 14:12:00.591001
Persona93 14:10:41.434227, Barco Pirata, 14:11:20.427121, Montaña Rusa, 14:12:00.605734
Persona122 14:10:56.544896, Montaña Rusa, 14:11:47.700460, Barco Pirata, 14:12:00.637812
Persona70 14:10:33.913128, Montaña Rusa, 14:11:06.218442, Montaña Rusa, 14:12:00.638330
Persona60 14:10:32.456131, Montaña Rusa, 14:11:04.963328, Montaña Rusa, 14:12:00.640343
Persona71 14:10:34.025133, Casa del Terror, 14:11:24.146506, Montaña Rusa, 14:12:00.641486
Persona118 14:10:55.118600, Barco Pirata, 14:11:38.040144, Montaña Rusa, 14:12:00.668858
Persona131 14:11:00.764894, Barco Pirata, 14:11:39.893650, Montaña Rusa, 14:12:00.780353
Persona10 14:10:11.158419, Montaña Rusa, 14:10:12.111422, Carrusel, 14:12:01.702534
Persona21 14:10:13.902422, Montaña Rusa, 14:10:19.837737, Carrusel, 14:12:01.704136
Persona42 14:10:22.011128, Carrusel, 14:10:40.647726, Barco Pirata, 14:12:08.703370
Persona48 14:10:25.340320, Carrusel, 14:10:47.998845, Barco Pirata, 14:12:08.710444
Persona34 14:10:18.174741, Casa del Terror, 14:10:35.103129, Carrusel, 14:12:08.711453
Persona78 14:10:35.703196, Casa del Terror, 14:11:33.522453, Montaña Rusa, 14:12:09.463281
Persona140 14:11:03.459088, Barco Pirata, 14:11:44.981142, Montaña Rusa, 14:12:09.479348
Persona100 14:10:45.803850, Montaña Rusa, 14:11:37.659627, Montaña Rusa, 14:12:09.592101
Persona146 14:11:04.551138, Barco Pirata, 14:11:47.701463, Montaña Rusa, 14:12:09.593669
Persona92 14:10:40.790728, Montaña Rusa, 14:11:25.367054, Montaña Rusa, 14:12:09.608118
Persona8 14:10:10.888418, Carrusel, 14:10:11.460419, Montaña Rusa, 14:12:09.640123
Persona108 14:10:49.767850, Montaña Rusa, 14:11:45.994987, Montaña Rusa, 14:12:09.641642
Persona124 14:10:57.892895, Montaña Rusa, 14:11:47.702461, Montaña Rusa, 14:12:09.643671
Persona129 14:10:59.874903, Montaña Rusa, 14:11:47.705031, Montaña Rusa, 14:12:09.670609
Persona94 14:10:41.574253, Casa del Terror, 14:11:45.504141, Montaña Rusa, 14:12:09.782943
Persona99 14:10:45.771839, Casa del Terror, 14:11:47.706985, Barco Pirata, 14:12:11.937839
Persona52 14:10:29.369499, Carrusel, 14:10:51.661946, Barco Pirata, 14:12:15.711029
Persona73 14:10:34.879126, Barco Pirata, 14:11:03.459088, Casa del Terror, 14:12:16.939584
Persona113 14:10:52.327895, Casa del Terror, 14:11:52.748933, Barco Pirata, 14:12:17.756068
Persona30 14:10:17.223545, Montaña Rusa, 14:10:33.027169, Casa del Terror, 14:12:17.756068
Persona142 14:11:03.810145, Montaña Rusa, 14:11:51.460696, Montaña Rusa, 14:12:18.465362
Persona147 14:11:04.583137, Montaña Rusa, 14:11:51.589786, Montaña Rusa, 14:12:18.480970
Persona35 14:10:18.538740, Montaña Rusa, 14:10:35.751196, Casa del Terror, 14:12:21.941010
Persona41 14:10:21.376130, Carrusel, 14:10:40.269766, Montaña Rusa, 14:12:22.706229
Persona45 14:10:23.536321, Casa del Terror, 14:10:47.114843, Carrusel, 14:12:22.706229
Persona81 14:10:37.870249, Carrusel, 14:11:54.702123, Montaña Rusa, 14:12:22.712257
Persona53 14:10:30.386177, Barco Pirata, 14:10:54.531592, Carrusel, 14:12:22.716875
